"","V1","V2","V3","V4","V5"
"1",4,6.03157972728588,2.69629168510437,6.30443500019049,2.02116346359253
"2",5,7.30769033493435,2.06918883323669,7.62366354214307,1.82633709907532
"3",8,9.57452941102041,2.06401014328003,9.50461546902327,1.95233511924744
"4",11,9.98818205179562,2.16948819160461,10.8238082472981,2.00607657432556
"5",16,11.1232966388244,2.17659997940063,11.0539551317359,2.21763634681702
"6",22,11.3401804248968,2.5436749458313,11.5527364332276,2.44656014442444
"7",32,11.3144021935757,3.47430753707886,11.8362809949056,3.48583269119263
"8",45,11.455663323417,4.67117381095886,11.3411504557096,5.67646646499634
"9",64,11.6345713151488,9.13524746894836,11.7101326845735,8.43871545791626
"10",90,11.6953637085253,14.9702255725861,11.824991563327,13.5114099979401
"11",128,11.2628835381892,30.0077362060547,11.5924332732524,28.0534656047821
"12",181,11.8068124728318,66.9468619823456,11.9945664849523,65.9478924274445
